ds_key,hw_key,algo_id,acc,lat
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.37333679199219,6.77217960357666
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
cifar10,edgegpu_latency,nsga2,94.29666900634766,6.748991012573242
