Dataset,Hardware,ds_key,hw_key,algo_id,Seed,HV,IGD,Spacing,MaxSpread
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,0,1.058809929337891,0.009483808211041847,0.20574020568617274,1.3576197727836696
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,1,1.059907549276748,0.009751299983462141,0.21718994088513952,1.2878897408012784
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,2,1.0600357783731682,0.010321921848269223,0.2144749086144183,1.3558139686036363
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,3,1.060185633975851,0.012632965150602778,0.21629776422365088,1.352074448942333
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,4,1.05788998852447,0.011142300826607556,0.03765792904646918,1.3072079092341773
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,5,1.0611122370647288,0.007908636404498428,0.2123312649961759,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,6,1.0593131773970434,0.005936064154163328,0.18909687068992118,1.3518851329839172
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,7,1.0611558319341607,0.004125449152499739,0.21298121373979895,1.3574679565278465
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,8,1.0592117876488165,0.005473846369126929,0.21878294067748214,1.3545605496653965
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,9,1.0586958346970579,0.012087617791227767,0.23085322422131996,1.4087019466950295
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,10,1.0595943421979517,0.011827847334746393,0.22676048713522562,1.3571563717838933
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,11,1.0611329500773288,0.011317538502884706,0.20269652412665734,1.3559273223066148
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,12,1.0592140790149323,0.012144676325864662,0.05275141212547416,1.3560482140189805
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,13,1.0589469666257065,0.009922704171989928,0.20089469970549348,1.3612641270075405
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,14,1.0603108968384722,0.010561865354217265,0.19788538246960172,1.3493553914867902
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,15,1.0603430002946284,0.0070568147844025635,0.18962658763864024,1.3484128405421816
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,16,1.0591181622716648,0.01197647539772073,0.2298011959025017,1.3433571927105223
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,17,1.0596839986641284,0.012416317047577438,0.2215072648758795,1.2905238374467245
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,18,1.059636066593605,0.00806065697612942,0.20173665861362364,1.2234696974051429
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,19,1.0603335951646815,0.011782441406290964,0.23040810233421444,1.3491105805650396
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,20,1.0605516663234433,0.009600901807807892,0.23235225053239028,1.3559448652807164
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,21,1.057896689165607,0.011634856934420188,0.23804449948397033,1.3559851793826672
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,22,1.0604716540237704,0.004466571575419816,0.23728240092452416,1.3251180246881282
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,23,1.0610288260580019,0.005024905350905371,0.2488091504752919,1.3249705901788014
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,24,1.0618531312575006,0.011911176204014377,0.22487111977187657,1.3633512359899462
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,25,1.0604225519138768,0.011618095269232484,0.2104654145529479,1.3458593275636344
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,26,1.0588995168794333,0.012228267735249118,0.24155067860439297,1.3432372411644478
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,27,1.0593344897209138,0.011386537228338873,0.208702378530851,1.4010362829258536
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,28,1.0591906830953381,0.008207151439589002,0.19388470474592454,1.3576197727836696
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,random_search,29,1.0596220420224505,0.00701174662895699,0.19335077753037663,1.3795543822411644
CIFAR-10,RasPi4,cifar10,raspi4_latency,random_search,0,1.165322211468101,0.0033853399704361995,0.1871115165607017,1.1260945027932663
CIFAR-10,RasPi4,cifar10,raspi4_latency,random_search,1,1.1639110614029662,0.0021250404699980244,0.1710259327869023,1.3001331611544196
CIFAR-10,RasPi4,cifar10,raspi4_latency,random_search,2,1.1647646838355719,0.0031146003946358977,0.15608991107809767,1.3129407804684674
