Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,10,1.1568304890986802,0.0039972233964009046,0.1571684666706549,33.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,11,1.1564848555475806,0.0037149435765601903,0.15037896827186206,35.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,12,1.1554324633241055,0.006930414684330434,0.16191591937822877,30.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,13,1.1582121145920548,0.006206684377134608,0.17485265972238076,30.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,14,1.1566264422695436,0.005074640866407276,0.028978422100972262,34.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,15,1.1575225832131302,0.00842589046041678,0.17034403525830535,27.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,16,1.1561412456877107,0.003947840967799099,0.1560384050701903,34.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,17,1.157380203061697,0.004801392419701933,0.16406849319268843,30.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,18,1.1572079790718495,0.0070462601782046025,0.16762752909847362,28.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,19,1.1565604441920772,0.003347715945465239,0.1551686960730411,33.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,20,1.1565298967718163,0.007731752948764821,0.15464641140168783,33.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,21,1.156607196447244,0.004042991988313286,0.1599748403987054,32.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,22,1.1562319249723267,0.00382821782429811,0.16252477576702545,31.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,23,1.1561634062253365,0.006399126181058186,0.16527281040337738,29.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,24,1.155609583434254,0.004152583596656299,0.16145826225518972,30.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,25,1.1560617532579107,0.007432780972937061,0.15265439766923575,34.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,26,1.156614848326974,0.004865247880688247,0.149368341306438,36.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,27,1.1563376724237195,0.003377123851954271,0.16062569470468707,31.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,28,1.156876262350935,0.0076244997474279414,0.17072167559305465,27.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,29,1.1562116065687724,0.004491530766382026,0.1675662800861438,28.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,0,1.0211386794134265,0.08201131961149752,0.10604096021878807,12.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,1,1.0073861355830145,0.027371178078522497,0.10132001852118419,15.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,2,1.0114196149589818,0.03281667671516302,0.1889960263270757,12.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,3,1.0002460504546926,0.031051656644239804,0.09397693906515059,18.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,4,1.0173463103508347,0.04185837342000456,0.10654846043765391,13.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,5,1.0043417155964875,0.08827131788588986,0.10679221733315736,10.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,6,1.0074875162246286,0.04617958476970851,0.10927882670925648,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,7,1.002978192286895,0.08797873980823412,0.10094845617170183,11.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,8,1.0156745971408405,0.08638886242489574,0.09712652497229678,11.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,9,1.0042539691810102,0.03576331656382106,0.10167419495144546,15.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,10,1.0150148576814366,0.023097902350920248,0.10085044543424103,15.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,11,1.0128195861599516,0.046478313309691065,0.0868387842765128,17.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,12,0.9981297648045646,0.10219388275943951,0.05696693907148344,11.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,13,1.0240512280369636,0.02965027998053863,0.1316016724451133,13.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,14,0.998912735917929,0.037496248078244095,0.11776741613999094,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,15,1.0208396528407828,0.08512586142260971,0.10815839248266959,12.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,16,1.004280311230917,0.03295987057187925,0.10798806210795074,12.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,17,1.0107649868239406,0.022754931335335432,0.11087487832334245,15.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,18,1.020505342421475,0.08052311312693163,0.10140620999346842,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,19,1.0090403277047677,0.03508072848582542,0.10227071805331539,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,20,1.0089874422131353,0.08677052947339002,0.09954144663258946,15.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,21,1.0185434236005033,0.03652869840610336,0.10216092240373538,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,22,1.00475082293732,0.05043688089828921,0.11212684281409663,12.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,23,1.0047860866448024,0.04640339897003954,0.11450367597144619,13.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,24,1.0054813516210535,0.04353616506939082,0.11421866968754343,13.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,25,1.007658820105751,0.09483830027344435,0.11409294922224712,11.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,26,1.0118561679768887,0.04794231660579992,0.09894758662869652,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,27,1.013404649532922,0.02192197056900835,0.11028898419010705,14.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,28,1.0177425487544423,0.027219805693037148,0.10064591951004455,14.0,,
