ds_key,hw_key,exp_name,acc,lat
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
cifar10,edgegpu_latency,no_restart,10.0,0.5013847351074219
