Dataset,Hardware,Stage,stage_idx,stage_id,HV,IGD,Spacing,rank_hv,rank_igd,rank_spacing,Overall Rank
CIFAR-100,RPi-4,Random Search,0,stage1_random,1.1319739657825612,0.01128332196975709,0.13689500682113215,2.0,3.0,3.0,2.6666666666666665
CIFAR-100,RasPi4,Full Proposed,3,full_proposed,1.122837207328339,0.008215766414235747,0.02835463759739077,1.0,1.0,1.0,1.0
ImageNet-16,EdgeGPU,MOEA/D + GA,1,stage2_moead_ga,0.9859004934104598,0.018502859406627506,0.03355090139955697,1.0,1.0,2.0,1.3333333333333333
ImageNet-16,EdgeGPU,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0.982293987667307,0.019627843247694635,0.014856701293313157,2.0,2.0,1.0,1.6666666666666667
ImageNet-16,EdgeGPU,Random Search,0,stage1_random,0.9773814904583102,0.03889988504048832,0.12126606922024556,3.0,3.0,3.0,3.0
ImageNet-16,Eyeriss,MOEA/D + GA,1,stage2_moead_ga,0.9679198497876543,0.012444930599719631,0.03198087590041939,1.0,1.0,2.0,1.3333333333333333
ImageNet-16,Eyeriss,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0.9592441046834254,0.020104040061731998,0.016766856945725783,2.0,2.0,1.0,1.6666666666666667
ImageNet-16,Eyeriss,Random Search,0,stage1_random,0.9439254841565731,0.0926876773466777,0.09139755433041498,3.0,3.0,3.0,3.0
ImageNet-16,RPi-4,MOEA/D + GA,1,stage2_moead_ga,1.0012624878491703,0.012324270077878594,0.037396893423061614,1.0,1.0,2.0,1.3333333333333333
ImageNet-16,RPi-4,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0.9963845610934201,0.01848266262399106,0.015821965031114913,2.0,2.0,1.0,1.6666666666666667
ImageNet-16,RPi-4,Random Search,0,stage1_random,0.9944721783674526,0.03578427763465074,0.10246227706510011,3.0,3.0,3.0,3.0
ImageNet16-120,EdgeGPU,Full Proposed,3,full_proposed,1.005464744989029,0.018299176814644057,0.017751352542063756,1.0,1.0,1.0,1.0
ImageNet16-120,Eyeriss,Full Proposed,3,full_proposed,1.0678207951349123,0.008497804961134399,0.008415061531430406,1.0,1.0,1.0,1.0
ImageNet16-120,RasPi4,Full Proposed,3,full_proposed,1.064538993693052,0.014471191877588217,0.020486488240316143,1.0,1.0,1.0,1.0
