Dataset,Hardware,Stage,stage_idx,HV,IGD,HV_full,IGD_full,ΔHV,ΔIGD
CIFAR-10,EdgeGPU,Random Search,0,1.0461677706771697,0.011650847687107443,1.0448719349387678,0.017342532586861567,-0.0012958357384018626,0.005691684899754124
CIFAR-10,EdgeGPU,MOEA/D + GA,1,1.0485345382865778,0.007387444624120308,1.0448719349387678,0.017342532586861567,-0.0036626033478099895,0.00995508796274126
CIFAR-10,EdgeGPU,MOEA/D+GA+PSO,2,1.047575159103358,0.009367988936768544,1.0448719349387678,0.017342532586861567,-0.0027032241645901234,0.007974543650093023
CIFAR-10,Eyeriss,Random Search,0,1.0102141333421948,0.0514580324696361,1.0050878363033595,0.044209619588099124,-0.00512629703883527,-0.007248412881536978
CIFAR-10,Eyeriss,MOEA/D + GA,1,1.0246184527939257,0.01699342763634486,1.0050878363033595,0.044209619588099124,-0.0195306164905662,0.027216191951754263
CIFAR-10,Eyeriss,MOEA/D+GA+PSO,2,1.019497889917218,0.026147476337194362,1.0050878363033595,0.044209619588099124,-0.014410053613858498,0.01806214325090476
CIFAR-10,RPi-4,Random Search,0,1.1565819423885029,0.005265083371727811,1.154442598773218,0.004892045754399196,-0.0021393436152847833,-0.000373037617328615
CIFAR-10,RPi-4,MOEA/D + GA,1,1.1573102187209863,0.003524479320214962,1.154442598773218,0.004892045754399196,-0.002867619947768185,0.0013675664341842343
CIFAR-10,RPi-4,MOEA/D+GA+PSO,2,1.1562489988578897,0.005221974773234279,1.154442598773218,0.004892045754399196,-0.0018064000846715889,-0.00032992901883508244
CIFAR-100,EdgeGPU,Random Search,0,1.0160555039946364,0.028274339677506276,1.01487628619981,0.006022280463151633,-0.001179217794826437,-0.022252059214354643
CIFAR-100,EdgeGPU,MOEA/D + GA,1,1.0213436273192917,0.0012432290037789652,1.01487628619981,0.006022280463151633,-0.006467341119481773,0.004779051459372668
CIFAR-100,EdgeGPU,MOEA/D+GA+PSO,2,1.0192773435569291,0.0021532226246714407,1.01487628619981,0.006022280463151633,-0.004401057357119154,0.0038690578384801924
CIFAR-100,Eyeriss,Random Search,0,1.0095357671151979,0.06267811611357446,1.0258469406108623,0.024861310346815192,0.016311173495664466,-0.03781680576675927
CIFAR-100,Eyeriss,MOEA/D + GA,1,1.038115566722264,0.010209862382442644,1.0258469406108623,0.024861310346815192,-0.01226862611140156,0.014651447964372549
CIFAR-100,Eyeriss,MOEA/D+GA+PSO,2,1.031327914215876,0.023489389906666013,1.0258469406108623,0.024861310346815192,-0.00548097360501365,0.0013719204401491797
CIFAR-100,RPi-4,Random Search,0,1.1319739657825612,0.01128332196975709,1.122837207328339,0.012774208546258473,-0.009136758454222127,0.0014908865765013834
CIFAR-100,RPi-4,MOEA/D + GA,1,1.1352010632349296,0.006415134093648355,1.122837207328339,0.012774208546258473,-0.012363855906590615,0.006359074452610118
CIFAR-100,RPi-4,MOEA/D+GA+PSO,2,1.1309726102374393,0.010459302482032055,1.122837207328339,0.012774208546258473,-0.008135402909100309,0.002314906064226418
ImageNet-16,EdgeGPU,Random Search,0,0.9773814904583102,0.03889988504048832,0.9699210271026345,0.028821081206510977,-0.007460463355675739,-0.010078803833977346
ImageNet-16,EdgeGPU,MOEA/D + GA,1,0.9859004934104598,0.018502859406627506,0.9699210271026345,0.028821081206510977,-0.01597946630782532,0.010318221799883471
ImageNet-16,EdgeGPU,MOEA/D+GA+PSO,2,0.982293987667307,0.019627843247694635,0.9699210271026345,0.028821081206510977,-0.01237296056467252,0.009193237958816342
ImageNet-16,Eyeriss,Random Search,0,0.9439254841565731,0.0926876773466777,0.9113028261215568,0.01419850452760441,-0.032622658035016294,-0.07848917281907329
ImageNet-16,Eyeriss,MOEA/D + GA,1,0.9679198497876543,0.012444930599719631,0.9113028261215568,0.01419850452760441,-0.056617023666097555,0.001753573927884779
ImageNet-16,Eyeriss,MOEA/D+GA+PSO,2,0.9592441046834254,0.020104040061731998,0.9113028261215568,0.01419850452760441,-0.04794127856186858,-0.005905535534127588
ImageNet-16,RPi-4,Random Search,0,0.9944721783674526,0.03578427763465074,0.9917559074747495,0.018709082746982394,-0.0027162708927030987,-0.017075194887668343
ImageNet-16,RPi-4,MOEA/D + GA,1,1.0012624878491703,0.012324270077878594,0.9917559074747495,0.018709082746982394,-0.009506580374420759,0.0063848126691038
ImageNet-16,RPi-4,MOEA/D+GA+PSO,2,0.9963845610934201,0.01848266262399106,0.9917559074747495,0.018709082746982394,-0.004628653618670597,0.00022642012299133388
