Dataset,Hardware,HV_s1,IGD_s1,HV_full,IGD_full,ΔHV,ΔIGD
CIFAR-10,EdgeGPU,1.0535195594092412,0.007417363021266495,1.0517250378972272,0.0029377901117167106,-0.0017945215120140912,-0.004479572909549785
CIFAR-10,RPi-4,1.158375045492627,0.00812030960846663,1.1577309969198106,0.0019353177223639237,-0.0006440485728163026,-0.006184991886102707
CIFAR-10,Eyeriss,1.018403313657538,0.07655377976466925,1.029686295670562,0.0057781185718509915,0.011282982013024023,-0.07077566119281825
CIFAR-100,EdgeGPU,1.0203666581525193,0.013919729757946609,1.0239946673604947,0.00047930065364955673,0.003628009207975458,-0.013440429104297052
CIFAR-100,RPi-4,1.1114555671195023,0.0061643081103640385,1.1163459916854845,0.0006918966004541385,0.00489042456598221,-0.0054724115099099
CIFAR-100,Eyeriss,1.0112696277358335,0.0455450298761666,1.0260466358273144,0.010401134223893868,0.014777008091480859,-0.03514389565227273
ImageNet-16,EdgeGPU,0.9787611049785723,0.03618563920588048,0.9849356576002646,0.015207637454256281,0.0061745526216923086,-0.020978001751624197
ImageNet-16,RPi-4,0.9929286336196664,0.02379965547037376,0.9981227103762723,0.006236306490665095,0.005194076756605881,-0.017563348979708664
ImageNet-16,Eyeriss,0.9554706702965243,0.21653020944083712,0.9649141550814719,0.005227285100429573,0.009443484784947609,-0.21130292434040754
