Stage,stage_idx,rank_hv,rank_igd,rank_spacing,Overall Rank,GlobalRank
Full Proposed,3,1.0,1.4444444444444444,1.2222222222222223,1.2222222222222223,1
MOEA/D + GA,1,1.4444444444444444,1.2222222222222223,2.4444444444444446,1.7037037037037035,2
MOEA/D+GA+PSO,2,2.6666666666666665,2.2222222222222223,1.2222222222222223,2.0370370370370368,3
Random Search,0,3.2222222222222223,3.4444444444444446,3.4444444444444446,3.3703703703703702,4
