Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,1,1.1570313933540726,0.00444898486170938,0.07260250032979529,157.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,2,1.1574959713319724,0.004276292560291336,0.022938050958926173,61.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,3,1.1569977404770746,0.0024102658904489875,0.10603338667467517,74.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,4,1.1550291425578563,0.0063348597047837305,0.0044227123853374005,120.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,5,1.157338038440759,0.0027314159844765568,0.018028317441618313,131.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,6,1.157231174753339,0.004569483143036637,0.011685657371414623,99.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,7,1.1570697671921908,0.0037687432375640645,0.008078147861842747,142.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,8,1.1574325725387007,0.001759605909568074,0.011455447898457876,137.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,9,1.157798685406424,0.0016964876183658362,0.09496808098353451,91.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,10,1.1563146024521154,0.006142174998917338,0.07647171464396141,145.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,11,1.1585173449660013,0.0029261988060940436,0.007976643435210368,109.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,12,1.1561458991101028,0.0067268295909497745,0.09944786852170169,82.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,13,1.157429589064297,0.0032812275741666806,0.0075318081735870086,169.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,14,1.1589875018035518,0.0015739723478222524,0.07705561230741576,145.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,15,1.1572739529024285,0.0029626116185228163,0.08909044614017,104.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,16,1.1566770537806894,0.005560155050966645,0.10800861076690912,70.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,17,1.156678039025926,0.004997572344802126,0.002685473484199827,102.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,18,1.1571472059307955,0.003181173258169471,0.02086518514702653,125.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,19,1.1580438603585848,0.003142027556407077,0.08506794284698072,113.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,20,1.156451536528193,0.004750338137643039,0.10199044842294529,79.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,21,1.1573491071500979,0.003580911674353857,0.009616640254507858,101.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,22,1.157283998216434,0.0026958804771280223,0.07942681541449075,134.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,23,1.1575266321862452,0.002252394623520786,0.0022258345491246306,153.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,24,1.1578137465914133,0.0025754221940817936,0.01035194667469356,220.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,25,1.1573162609739938,0.0026020929043936826,0.09539288205558394,92.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,26,1.157158473148533,0.00482264278665298,0.01359285071094821,97.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,27,1.158419995513582,0.00384037525204753,0.07469187067608506,157.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,28,1.157656636163534,0.0016815870764811743,0.11114793318217954,70.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D + GA,1,stage2_moead_ga,29,1.1581338242144503,0.0020620563907158412,0.09881166795156032,84.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,0,1.0275709528551824,0.025708198429338056,0.05315427922164492,66.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,1,1.027975629576,0.007197593139309697,0.012543986465398794,67.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,2,1.0334397924053134,0.002140458263364952,0.04359769487548329,100.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,3,1.024297812179976,0.01206236437907596,0.019973432518037758,103.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,4,1.0255823294790298,0.0307482595732742,0.01985437301238309,81.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,5,0.9973422825144577,0.11612572015336411,0.014365877715147852,184.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,6,1.0197047898023242,0.01754827591471037,0.05953080892761474,59.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,7,1.0310200697017087,0.008001893772432742,0.03478534547814051,158.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,8,1.0328854815630828,0.0030328390644278995,0.016205662834956943,107.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,9,1.029216283736906,0.011699838728942206,0.017871306177133166,77.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,10,1.032797433059877,0.0031498931223034655,0.022060365533244468,84.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,11,1.0337301591297459,0.0027469354157099277,0.035072746180657054,180.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,12,1.0218606086664943,0.010908327228612872,0.03511025083468536,162.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,13,1.0340908921556882,0.002029039602635413,0.05215853113933911,77.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,14,1.0202764606193406,0.0170034126025699,0.047950868278423604,87.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,15,1.0279668086143339,0.0064915124333153945,0.054620269277058674,62.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,16,1.023690736681204,0.008102882449190328,0.04442320744963628,110.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,17,1.027790993556469,0.02438618582865015,0.05404070872443512,72.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,18,1.0023268508663374,0.040828092335219626,0.05293037183314487,65.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,19,1.0312928750595367,0.00674425743137124,0.007098755196972717,137.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,20,1.033906135301066,0.0027565431101589434,0.007151427698334551,119.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,21,1.033413369798679,0.003124453836601489,0.042776531191318745,91.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,22,1.0113456195768962,0.03180397646015459,0.019459191568763308,32.0,,
