Dataset,Hardware,ds_key,hw_key,algo_id,Seed,HV,IGD,Spacing,MaxSpread
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,0,1.0569798632287624,0.042882354397801435,0.029352957660778098,1.2169315591854823
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,1,1.0577504405988103,0.006877621188467095,0.03776244608331289,1.3400039219573945
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,2,1.0613191519866854,0.0016851272602770634,0.03560497859611928,1.3547957204129877
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,3,1.0611300839990099,0.004316642382227399,0.029517809869883227,1.3556202116937548
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,4,1.0583444143014993,0.007279336104525987,0.007358077674004274,1.2234200101245303
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,5,1.0611245700741312,0.0015759574691296993,0.041446753276114724,1.3556258546316318
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,6,1.0610814755071847,0.0022090915096007464,0.0406465709311221,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,7,1.0529697115973895,0.015842821245249484,0.030193994030051585,1.3639441473027292
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,8,1.053441317579897,0.03739271747683649,0.006144794940027661,1.1720193318764793
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,9,1.0582058388459032,0.012779215496926526,0.0300286280133194,1.344299211779319
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,10,1.0612153112216105,0.003663361667886038,0.045144769975959266,1.379824574908561
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,11,1.04177754322085,0.030262782365627662,0.002920221208322474,0.7886734472902898
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,12,1.060266379255502,0.0026281656763861563,0.04766800346343984,1.3237767999522914
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,13,1.0583449132614733,0.004891151358801707,0.034345078063120996,1.3473319480026296
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,14,1.0563253544276658,0.00996918059396112,0.0013057657382301653,1.2813467333372113
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,15,1.0606647086266823,0.003945752962174886,0.03049233970657078,1.3408112194013233
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,16,1.0593079940185877,0.012359504259826931,0.03659288177499473,1.3556149360273988
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,17,1.0600126674715322,0.005813553923264739,0.03132899594916146,1.2876048168295424
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,18,1.0616541060752067,0.005472213255415637,0.029251394512005757,1.2350510984673404
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,19,1.0605062718895948,0.007458559131904264,0.0431115195031992,1.2146256189126978
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,20,1.0570567426185162,0.0035067672908225167,0.02996339006405106,1.332875561560342
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,21,1.0614170990742493,0.009095797679640978,0.03262135638144216,1.3405850227505407
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,22,1.0603625919401884,0.0025933168736679995,0.0039880550644136505,1.3248785690062157
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,23,1.0612934120803768,0.0024894026511491077,0.039924850687961165,1.3797736993477216
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,24,1.0589842639108027,0.010829733541382301,0.0013339804634570898,1.1681104268460822
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,25,1.0595643889131279,0.0054514679364201304,0.029694583863646297,1.186493241885852
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,26,1.055580147383018,0.010512030843958764,0.005270938838869514,1.2812464985825565
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,27,1.0592200288230846,0.012025134726820198,0.03370466927324194,1.3405789852999594
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,28,1.0566930541812944,0.010063871724088954,0.004742153013684735,1.2233285955910302
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,full_proposed,29,1.0616672066659,0.0026230351865588085,0.03926851608576421,1.3797146670990839
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,0,1.1600960324397342,0.006815341652841869,0.055443515525729806,1.0427067651163286
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,1,1.1623621449779329,0.00592009646202668,0.03352045533619259,1.1342878110623849
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,2,1.1626562015517132,0.0025360515278535886,0.02112922630126717,1.3176209916864865
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,3,1.1627871050105483,0.003188170384782464,0.032498482413647084,1.187684324633258
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,4,1.1618847660529403,0.004644185837948414,0.029191055747674985,1.125176169581252
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,5,1.1625650262868215,0.003631146381052786,0.03463166747155957,1.1124790850858082
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,6,1.162979646310335,0.003120582728679857,0.02802580425215197,1.2648269134497514
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,7,1.1604588229862338,0.003838877159628305,0.004800506441554925,1.1946310746503668
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,8,1.1607453630741187,0.003756027270536369,0.09301845644497021,1.1224089785542133
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,9,1.1616636653969161,0.0045313840132950745,0.03515576444771599,1.1037399594079784
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,10,1.162108847144373,0.004639374257011933,0.0021368709267075773,1.0837763435070302
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,11,1.1620228306226281,0.0035291399566687175,0.04581523453641624,1.0986341224931648
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,12,1.1601405934785505,0.004876649117204273,0.052148254489450145,1.0994536548917007
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,13,1.1604028812793201,0.004720825801955436,0.028412455945852857,1.1205619183369324
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,14,1.1616698921217994,0.00427580200401774,0.02939724463215976,1.1050085216639487
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,15,1.161209374128006,0.004000420524177351,0.03333347391553816,1.1667132902344124
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,16,1.1636890987627513,0.003370538124756069,0.059926216009813314,1.1411570611960644
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,17,1.1602301557993564,0.003754060143417672,0.05571215723363934,1.1224097224456095
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,18,1.1609645809060711,0.002906351550508823,0.03776745273096923,1.3192615918667967
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,19,1.1617060317191068,0.004570071595653099,0.0010539859372358565,1.0845403352895382
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,20,1.1619137732501903,0.0037397045752855253,0.03543629095735046,1.126321123560398
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,21,1.1612459310468621,0.0043923291575908244,0.0028628722821775615,1.2200836447107117
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,22,1.1639749946185698,0.004094870511227863,0.030019047182466223,1.1024661045169093
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,23,1.163741409598581,0.0036286068911677337,0.031112718709016517,1.135261642655994
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,24,1.16057144154672,0.0042574408531316525,0.007208522441942821,1.2265407116854057
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,25,1.1605060856474796,0.0046019345110201336,0.007133477418736717,1.1146588452462896
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,26,1.1628711136482837,0.004255951208125783,0.0036547694168599936,1.116367988624783
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,27,1.1623478494277757,0.0038966060738213886,0.05978996865003568,1.1252293493878698
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,28,1.1613558187428712,0.005324375292265583,0.03208310941642629,1.0668971973313808
CIFAR-10,RasPi4,cifar10,raspi4_latency,full_proposed,29,1.1628898616460737,0.003119147501462335,0.02903425483136277,1.1877086497470923
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,0,1.193148934202684,0.002838586818780401,0.0033611058056950797,0.6392533079265348
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,1,1.1935670317575344,0.003989906052412158,0.0055483629715135955,0.8380273800299383
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,2,1.1948701203540557,0.006422808314730937,0.005891247056105831,0.8380650435256857
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,3,1.1945072720074958,0.0050346709653412,0.0031954768618484477,0.47537045222433216
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,4,1.1931765738775355,0.012057642059477115,0.004138315715708797,0.4421081567820748
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,5,1.1943677021989911,0.005260019317741006,0.008544192295960318,0.6395437139767429
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,6,1.1948865594801887,0.008305503849424665,0.00825632124484359,0.6400391462883924
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,7,1.1951749826521105,0.0070222144446490465,0.009475592342673778,0.8384978501219391
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,8,1.1946429535738465,0.007143477097476588,0.014766544864874009,0.8381725427777015
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,9,1.1940509671987292,0.007721846107073466,0.005556477997768889,0.6398072970545965
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,10,1.1655888507640215,0.004965256768458401,0.06595684213133186,1.1173272527080083
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,11,1.1932641618068165,0.009818376911228683,0.01043392202746511,0.6391518237315961
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,12,1.1927551758380657,0.007458564730125615,0.008094781683973411,0.47456542815528674
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,13,1.1911610598516211,0.008835833241325058,0.005971402620374815,0.6058475874895308
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,14,1.1951940712083626,0.008790652530697917,0.0042157346739437685,0.6729755304131918
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,15,1.1945079532034084,0.0040754012983499,0.007175481235108818,0.64015946682953
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,16,1.1952361998599872,0.0025464428862928125,0.003736873433558284,0.67280932174282
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,17,1.1949135631712455,0.007846701130094913,0.0024070265233328766,0.6729917348126513
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,18,1.1913224068303334,0.010140214473201842,0.0029072935180818847,0.47472773194661017
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,19,1.196124449188301,0.0021680844439519687,0.013067308033428758,0.8386344524716547
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,20,1.194330827195487,0.0038508298160064907,0.0033584270156148295,0.6396125506886351
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,21,1.1937421744605428,0.010360787072400533,0.0021789826774160958,0.4425440490422417
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,22,1.1891712474077636,0.014653120197523174,0.007518509066268773,0.8045384230253292
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,23,1.1949932208950158,0.008038165262074171,0.007095551660176133,0.6399708830888975
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,24,1.161351495101448,0.003292114692732938,0.011494571090690044,0.6022860244335984
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,25,1.19618829774145,0.005179681829244548,0.0035270699392146495,0.5080523664533215
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,26,1.1940931259917658,0.00444010993242714,0.005688268767360417,0.6065170758489992
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,27,1.196162620272523,0.0045749652542753545,0.0055419093585054955,0.6730133601642622
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,28,1.1919255394996275,0.00894507544705209,0.007442877908249267,0.6394207477416955
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,full_proposed,29,1.1960908475421457,0.004917781174372168,0.003319809247205821,0.5080418666129553
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,0,1.0251719733542797,0.0035339563700796813,0.033789900276366115,1.3788666399891816
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,1,1.024035787558181,0.004761953136285221,0.026120160159731853,1.4007794896705277
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,2,1.0123297446866577,0.007946267650189838,0.026937895471046143,1.3779381066608878
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,3,1.0234039209230603,0.009995440619749416,0.02722036267832692,1.3748745035446464
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,4,1.025895276627396,0.010848900594476166,0.028196941370346815,1.385055677719263
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,5,1.0220935176216546,0.005118580100024116,0.025369302197523567,1.380348140165403
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,6,1.0166254255635747,0.005670137078822216,0.030680369087935134,1.402287760402789
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,7,1.029358478456159,0.0019166482763379507,0.030172400666134882,1.3788019286559574
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,8,1.0296786895985566,0.0030207541102604324,0.028934293846695845,1.3788019286559574
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,9,1.0262185764245275,0.004275054849508087,0.004257767723477203,1.374761696876487
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,10,1.0270366491648257,0.00028636911940063057,0.027567228588184216,1.3789398176332643
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,11,1.0172032011781023,0.005655003689544223,0.005891874555591348,1.3710527654317215
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,12,1.025606729511009,0.029350430060441718,0.02531135952844982,1.3787402071401855
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,13,1.0239875682076047,0.0033125744397521674,0.025444099279817934,1.3658871641347692
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,14,1.0002040500174054,0.003516333614942028,0.000331304274571875,0.8394471723181923
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,15,1.0284446979161113,0.004190211239371997,0.0313784721387583,1.3797470484773795
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,16,1.0262305293067946,0.008226168109138945,0.023377199509069777,1.37844508133231
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,17,1.0226104881850933,0.0048792201899132475,0.026907094259697235,1.3613291462275359
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,18,1.026774494814021,0.0042011129389832235,0.025675710737709367,1.3822517351050863
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,19,1.0285423551577462,0.0029207990845563775,0.025244553402993735,1.4029246298458549
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,20,1.0285849792093231,0.005687866907581546,0.026590428261850763,1.3797470484773795
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,21,1.0138570681110881,0.005976350824030287,0.029007068203343974,1.3786277225887478
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,22,1.0203078141093898,0.003589210236372836,0.025278117275676668,1.37844508133231
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,23,1.0238689695171315,0.002184614922825719,0.027382430694312954,1.373120583390405
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,24,1.0276740897143744,0.0020056978318152697,0.025010439443688616,1.378332125944553
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,25,1.023914014488073,0.006967186592299728,0.0032037240224280067,1.3782206734429125
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,26,1.0291827362427948,0.004371186388664161,0.030090657993167114,1.379423794526134
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,27,1.0226873173167434,0.002144702656878903,0.025907528674739055,1.3631407915153244
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,28,1.0290530948019252,0.004236798197602411,0.0044086823624176165,1.3795009893111543
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,full_proposed,29,1.0286401598621444,0.0030051464891344523,0.027317298122285092,1.3851336202747098
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,0,1.12871815375378,0.0026472712705841272,0.026034657453106583,1.2822522858244672
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,1,1.1168733562906303,0.020844047750456608,0.025476506156948714,1.1495963576524053
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,2,1.120297056261242,0.024531082949608603,0.04727842667732002,1.382871586640373
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,3,1.1315948568826597,0.0027267510979035424,0.024972990323759683,1.2827144640850012
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,4,1.1260881983628601,0.0030619703032817125,0.028610009739631435,1.2624494367960755
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,5,1.1192542585291871,0.0033212608088266536,0.029674925884210016,1.2348921965086008
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,6,1.1302718930186364,0.0036531962516535856,0.02740319876208744,1.1640769472376613
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,7,1.120996070855021,0.018011962432805183,0.027267421143768445,1.1278532022044998
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,8,1.1185143530871862,0.004041512891653079,0.02849647166041387,1.2119012242150813
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,9,1.1186783780082226,0.004893949445192961,0.02599752687141634,1.106588600431603
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,10,1.1122389334717058,0.020904523372124884,0.02799231165512106,1.1084897606532564
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,11,1.1234479726587059,0.007011760084312095,0.02463759761323457,1.1469171590653944
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,12,1.1100342493103408,0.015642453160812714,0.032508647302654466,1.2255369079520713
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,13,1.1259426106005526,0.003222464321084413,0.025833894301832493,1.1561015738344556
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,14,1.1246751386776737,0.005231416698409234,0.030652304774841686,1.0992904646480652
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,15,1.1130581967326767,0.01720850977872378,0.025701151444983184,1.203068080494982
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,16,1.1283994492083962,0.002641261930082082,0.025704494951433395,1.2389047307891032
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,17,1.129753130970014,0.005803061829517995,0.033157844636845325,1.2827077332298207
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,18,1.1100644691718946,0.012056867180573149,0.025256298942854843,1.1022077051914991
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,19,1.1308249177704472,0.0026351438922210778,0.025095101326000437,1.3774861161687384
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,20,1.1179958028303858,0.005936873897527091,0.025521278329201154,1.0738045151938795
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,21,1.132557927718347,0.0032265629085144352,0.034536618425489586,1.1908909678401094
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,22,1.1336459611252294,0.0022417961817943117,0.029000192728134856,1.2637869874471443
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,23,1.114038949995709,0.016957407354158984,0.028843966869668308,1.217459464132377
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,24,1.1332874836344067,0.0025246980775894493,0.03174214274128736,1.2637854080815225
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,25,1.1218051242395704,0.0035435066853473844,0.02613633566564631,1.1377563460942974
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,26,1.1271786812589384,0.004123182010296192,0.038434900685847054,1.1273831916233095
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,27,1.1212772644433273,0.003863300749998179,0.010412345758450592,1.1276171303568285
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,28,1.1171285437477385,0.020590072429324417,0.030567194135231412,1.141493305267024
CIFAR-100,RasPi4,cifar100,raspi4_latency,full_proposed,29,1.1264748372346858,0.003375124682696121,0.02769237096030404,1.1561101855275886
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,full_proposed,0,1.1733998136455406,0.01908706080890353,0.005081381826329357,0.6981585018338473
