Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,5,1.1581712179456507,0.002706897782165809,0.008493223924866082
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,6,1.1585249704565723,0.0014107326183505746,0.00857882489172969
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,7,1.1571628486037766,0.002706803022211498,0.013510291443204104
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,8,1.1560206313062495,0.005217314724634976,0.012641581419789454
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,9,1.1575381052160585,0.004061085637109107,0.08815762828911157
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,10,1.1577064193302635,0.0017361554086851659,0.10307331254025212
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,11,1.1573211058942223,0.0018265297111046165,0.09797320880498368
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,12,1.1575651410163381,0.001670434752972803,0.010007129548358196
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,13,1.158407661710691,0.0017239170887025132,0.10552309568652281
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,14,1.1581733146937814,0.0024987811041419145,0.08435095544548062
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,15,1.1583398869060888,0.0023608993551793188,0.04677903130684367
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,16,1.15722831416289,0.0016904891467207147,0.016070348146079456
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,17,1.156631462971535,0.0018720796130340892,0.09761397961673648
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,18,1.1574430241324258,0.0025779280741286,0.027246809812366542
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,19,1.1576224294791018,0.0015245114123954339,0.01114653766614291
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,20,1.1586938870000314,0.0011456215981117933,0.08468532368322627
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,21,1.1558652993086784,0.0022746786099452085,0.10109991365542435
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,22,1.1576928043029637,0.0020815064556836617,0.07404477740702754
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,23,1.156029571820807,0.005223445872978731,0.0051264908802271195
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,24,1.1576556274621652,0.001486130371213196,0.08708532248226324
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,25,1.1582844265717456,0.0012242227986138615,0.12056457613876506
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,26,1.1566319746480591,0.0018373427157511062,0.02016716781938837
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,27,1.1578349158364059,0.0019056264827152743,0.08707138900608657
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,28,1.1580812870735981,0.001202729922945101,0.10609628881364924
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,29,1.1573252632183815,0.0015080072707173767,0.10734531792711914
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_pso,T2: No PSO,No PSO,0,1.0329821697753174,0.021895812689711254,0.03338389773680594
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_pso,T2: No PSO,No PSO,1,1.028820347421027,0.009046977078656813,0.051267823011066624
