ds_key,hw_key,exp_name,acc,lat
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,10.0,0.5385971069335938
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.336669921875,1.4338922500610352
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.4433364868164,1.4339256286621094
cifar10,edgegpu_latency,ga_only,86.5199966430664,1.4357423782348633
cifar10,edgegpu_latency,ga_only,86.5199966430664,1.4357423782348633
cifar10,edgegpu_latency,ga_only,86.70999908447266,1.436324119567871
cifar10,edgegpu_latency,ga_only,86.70999908447266,1.436324119567871
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
cifar10,edgegpu_latency,ga_only,86.8933334350586,1.4396190643310547
